TIMESTAMP,RATE (EGP)
2026-03-01 11:02:15 UTC+02:00,47.96
2026-03-01 12:14:52 UTC+02:00,47.96
2026-03-01 14:25:44 UTC+02:00,47.96
2026-03-01 16:15:10 UTC+02:00,47.96
2026-03-01 18:15:38 UTC+02:00,47.96
2026-03-01 18:57:37 UTC+02:00,47.96
2026-03-01 20:19:26 UTC+02:00,47.96
2026-03-01 22:14:54 UTC+02:00,48.75
2026-03-02 00:13:40 UTC+02:00,48.75
2026-03-02 03:08:13 UTC+02:00,48.75
2026-03-02 06:03:58 UTC+02:00,48.75
2026-03-02 10:32:17 UTC+02:00,49.10
2026-03-02 12:34:47 UTC+02:00,49.15
2026-03-02 14:33:42 UTC+02:00,49.12
2026-03-02 16:36:13 UTC+02:00,49.22
2026-03-02 18:31:22 UTC+02:00,49.22
2026-03-02 20:32:23 UTC+02:00,49.22
2026-03-02 22:24:12 UTC+02:00,49.22
2026-03-03 00:18:02 UTC+02:00,49.22
2026-03-03 03:10:13 UTC+02:00,49.22
2026-03-03 06:04:44 UTC+02:00,49.22
2026-03-03 08:37:22 UTC+02:00,49.22
2026-03-03 10:28:37 UTC+02:00,49.22
2026-03-03 12:28:51 UTC+02:00,50.23
2026-03-03 14:33:16 UTC+02:00,49.88
2026-03-03 16:36:45 UTC+02:00,49.83
2026-03-03 18:34:35 UTC+02:00,49.88
2026-03-03 20:34:15 UTC+02:00,49.88
2026-03-03 22:22:08 UTC+02:00,49.88
2026-03-04 00:18:28 UTC+02:00,49.88
2026-03-04 03:06:14 UTC+02:00,49.88
2026-03-04 05:59:09 UTC+02:00,49.88
2026-03-04 07:08:34 UTC+02:00,49.88
2026-03-04 08:34:09 UTC+02:00,49.88
2026-03-04 10:26:45 UTC+02:00,49.88
2026-03-04 12:25:26 UTC+02:00,50.16
2026-03-04 14:32:05 UTC+02:00,50.20
2026-03-04 16:31:22 UTC+02:00,50.09
2026-03-04 18:30:38 UTC+02:00,50.09
2026-03-04 20:33:27 UTC+02:00,50.09
2026-03-04 22:22:21 UTC+02:00,50.19
2026-03-05 00:20:55 UTC+02:00,50.19
2026-03-05 03:08:53 UTC+02:00,50.19
2026-03-05 06:02:27 UTC+02:00,50.19
2026-03-05 08:36:53 UTC+02:00,50.17
2026-03-05 10:28:32 UTC+02:00,50.19
2026-03-05 12:28:56 UTC+02:00,50.21
2026-03-05 14:35:30 UTC+02:00,50.20
2026-03-05 16:38:18 UTC+02:00,50.10
2026-03-05 19:53:13 UTC+02:00,50.10
2026-03-05 21:06:58 UTC+02:00,50.10
2026-03-05 22:28:09 UTC+02:00,50.10
2026-03-06 00:20:28 UTC+02:00,50.10
2026-03-06 03:12:26 UTC+02:00,50.10
2026-03-06 06:00:09 UTC+02:00,50.10
2026-03-06 07:11:14 UTC+02:00,50.10
2026-03-06 08:34:42 UTC+02:00,50.10
2026-03-06 10:25:29 UTC+02:00,50.10
2026-03-06 12:24:30 UTC+02:00,50.10
2026-03-06 14:31:07 UTC+02:00,50.15
2026-03-06 16:29:26 UTC+02:00,50.15
2026-03-06 18:27:06 UTC+02:00,50.14
2026-03-06 20:30:18 UTC+02:00,50.14
2026-03-06 22:20:06 UTC+02:00,50.14
2026-03-07 00:17:30 UTC+02:00,50.14
2026-03-07 03:04:17 UTC+02:00,50.14
2026-03-07 05:51:01 UTC+02:00,50.14
2026-03-07 06:54:34 UTC+02:00,50.14
